review_posted_date,review_header,review_rating,review_author
09 March 2020,Love it!!,5.0 ,PR
23 August 2019,A wholesome and healthy gluten free breakfast option,5.0 ,aritreyee datta
03 December 2019,Too much artificial flavour in strawberry variant,1.0 ,pranav parekh
02 July 2019,Much better than other brands,5.0 ,Best Product Reviews
25 August 2019,not healthy but full of fake candies,1.0 ,The True Reviewer
14 March 2019,Must for healthy eating habit,5.0 ,Rashmi Udani
01 August 2019,JUST MORE THAN AVERAGE,4.0 ,MANOJ
22 June 2020,Great healthy breakfast alternative,5.0 ,Rashmi
06 June 2020,Delightfully nutritious cerral,5.0 ,Jobee Philip
25 May 2019,Just wow,5.0 ,Mritunjay Kumar
06 March 2019,Yummy product,5.0 ,Genuine customer
04 July 2020,Omg;!!!,5.0 ,Muskan sayyed
19 October 2019,Loved it ❤️ will buy again,5.0 ,asna
01 March 2019,Best cereal for my diet,5.0 ,Saurabh
08 August 2020,Worth it,5.0 ,Fizza
20 June 2019,Great ❤,5.0 ,Pragyan P.
29 March 2019,Bad choice,1.0 ,Kagalkar
04 September 2020,nice and tasty,5.0 ,Joydeep Bhattacharya
24 August 2019,Good product.,5.0 ,Diksha Varshney
26 June 2020,Good quality,5.0 ,Srikieee
14 March 2019,Welcome change from the standard breakfast cereals,5.0 ,DSood
29 July 2020,Taste buds are delighted.,5.0 ,nishant
11 March 2019,Good product,5.0 ,Shivam Tyagi
13 September 2020,i love it 👍🏻,5.0 ,iBuyer
13 August 2019,review,1.0 ,kush
01 August 2019,Highly Recommended !!,5.0 ,Shilpa
20 July 2019,Kellogs is better,2.0 ,Maulik
27 July 2020,Good,5.0 ,kamaldeep
20 July 2019,Very good product.,5.0 ,Jack
15 September 2020,Health+ Fibres + No fat,5.0 ,Rishabh
14 September 2020,It's pretty good!,4.0 ,Shravya S Rao
16 July 2019,good breakfast option,4.0 ,Raj Kamal Chandna
29 January 2019,Worth it!!,5.0 ,Cheryl d’souza
31 July 2020,Worth,4.0 ,Madhav D.
30 November 2019,Complete waste,1.0 ,Saumik Jain
03 March 2019,Loved it,5.0 ,Manu Gupta
11 March 2019,Worth buying,4.0 ,ankita r.
20 August 2019,Awesome!!,5.0 ,Varsha
11 July 2020,"Little bit Costly, But make my Day..",5.0 ,Amazon Customer
26 August 2020,Fraud,1.0 ,Vijay c
18 June 2019,best for breakfast full of fiber and protiens,5.0 ,anil kumar
11 July 2019,Added sugar present,1.0 ,Geethu
03 March 2020,Taste is good but cost is tipoo hight,5.0 ,Parul s.
01 March 2019,Smart purchase,5.0 ,Suraj gupta
13 July 2019,Yummy n healthy !,5.0 ,Asghar Ali Khan
13 December 2019,Strawberry flavour sucks,2.0 ,Amazon Customer
14 June 2020,Worth every penny!,5.0 ,Yash
27 November 2019,"Worth trying,",5.0 ,Joey
05 October 2019,Healthy breakfast,5.0 ,Ayushi Yadav
16 September 2019,Yummy healthy snack,4.0 ,M Grover
03 April 2019,Good for Breakfast .,5.0 ,Archo91
17 February 2019,A truly homegrown cereal,4.0 ,King
27 September 2019,Super tasty and healthy.,5.0 ,Sakshi verma
01 March 2020,Negligible nuts and fruits,1.0 ,Oliver
22 June 2019,PRODUCT NOT UP TO THE MARK,1.0 ,Aritra Guin
19 April 2019,Go for it,5.0 ,Amazon Customer
09 July 2019,Ok,3.0 ,shailendra
29 July 2020,"Simply Awesome,Tasty, Healthy,Value for money",5.0 ,Namita Srivastava
25 September 2019,Bad Smell,1.0 ,Samrat
20 December 2019,GOOD PRODUCT,5.0 ,Angela
21 August 2020,Totally Loved it!,5.0 ,Navita
06 March 2019,Tasty & Healthy,5.0 ,ritika17✔
05 March 2020,Lesser Berries,3.0 ,Ravindra Kontham
02 October 2019,Healthy breakfast 👌,5.0 ,Rahul
13 October 2019,Healthy👍,4.0 ,Shoppie
27 March 2019,Healthy Tasty,5.0 ,Kartikey
28 May 2020,Not a healththier option,3.0 ,Shouvik D.
11 May 2019,Really good when compared to commercial brands like Kelloggs,5.0 ,Sayon Overseas
20 September 2019,One of the best,5.0 ,Sujeet
10 March 2019,"It actually has plenty Fruits, Nuts + Seeds",5.0 ,amit
04 April 2019,Great in taste !,5.0 ,LR.
22 January 2020,Super se uppar product,5.0 ,Manav Joshi
10 August 2020,"Yummy and tasty, loving it. Healthy breakfast.",5.0 ,RAJESH CHANDRA VARMA
28 December 2019,Disappointed this time,2.0 ,Customer
13 May 2019,Loving it,5.0 ,UTKARSH SHARMA
16 May 2019,Good job yogabar,5.0 ,vivek
26 December 2019,Now quality has been decreased,2.0 ,Amazon Customer
01 August 2020,Great product except cost,5.0 ,Amazon Customer
13 September 2020,WoW!,5.0 ,able ajay
20 August 2019,Daily b/f alternative,5.0 ,alby alex george
16 September 2020,"this is the breakfast that is complete, natural and tasty",5.0 ,Neha wani
19 July 2020,Good Quality and Awesome taste,5.0 ,Rajeev Dhiman
06 August 2020,Nice flavour and smell,5.0 ,Tushar Gupta
26 July 2020,Tasty and healthy breakfast,5.0 ,MK
16 July 2019,Healthy and testy,5.0 ,Tushar
10 November 2019,Not Worth Buying,1.0 ,Gopi
27 June 2019,A bit different type of Muesli and surprisingly tastes good as well,5.0 ,Mrutyunjaya Jena
05 June 2020,"Awesome, Yummy and what else?",5.0 ,Venkates
04 September 2020,Yummy,4.0 ,Bhanupriya Kapoor
12 June 2020,Great Taste,5.0 ,Harsh Kumar Chaudhary
17 March 2019,Perfect Start with healthy breakfast,5.0 ,Rahul Agrawal
16 July 2019,Really liked it,5.0 ,mb
05 April 2019,Good Product,5.0 ,vish
05 September 2019,Best breakfast option,5.0 ,Mamoni talukdar
07 June 2020,बेहतरीन स्वादिष्ट,5.0 ,Manish Tiwari
02 August 2020,Healthy breakfast at great price,5.0 ,Urmi
23 May 2020,Go for it.,4.0 ,Duaa J.
21 September 2019,"Too sweet, that ruins the taste",2.0 ,amanpreet
13 June 2020,Taste is not good,1.0 ,Mahindar B.
04 July 2019,It's yummy and tasty 😋,5.0 ,omnath
14 March 2019,Very good product,5.0 ,Bhavuk Taneja
08 September 2019,Great product,5.0 ,tabish ahmed
09 August 2019,Go for it!,5.0 ,Jayanthi
28 July 2020,Must reafdd😐😐😐,1.0 ,Juicy
25 July 2020,Healthy and Tasty,5.0 ,Ruchira Mandal
22 May 2019,"Healthy, delicious and worth the money",5.0 ,aravind p nair
29 June 2020,Better taste and quality,5.0 ,Ruchi
05 October 2019,Yummy breakfast option,4.0 ,Amazon Customer
09 November 2019,Very bad taste,1.0 ,Amazon Customer
10 July 2019,Yoga bars are really good go for it superb quality,5.0 ,Dayanand patil
27 November 2019,Love it,5.0 ,shyonti sinha
24 July 2020,Must buy for good health,5.0 ,Tarun
01 March 2020,Taste is not good,1.0 ,Anand
18 December 2019,Poor quality,1.0 ,Amazon Customer
12 August 2019,Disappointed,2.0 ,baljinder kaur
29 February 2020,Tasty,4.0 ,Shweta S.
19 July 2020,The Best,5.0 ,Sia Sharma
04 July 2019,Healthy and tasty,5.0 ,Brynel C.
18 August 2020,Delicious,4.0 ,Ayushi jangid
13 June 2020,deteriorated,3.0 ,Diya Roy
14 July 2019,Too much sweet components,3.0 ,Rashmi
11 October 2019,Bad,1.0 ,XYZ
02 September 2019,4/10,3.0 ,Rahul Sharma
22 August 2019,Everyone in my family loves it,5.0 ,Sachin
04 November 2019,Not bad,1.0 ,ragupaavan
13 July 2020,Complacent,1.0 ,sarfaraz
01 September 2020,Not a great one,2.0 ,payal
17 January 2020,Just buy without thinking twice,5.0 ,Off The Grid
17 November 2019,The dark chocolate variant is better,3.0 ,mayank sohar
07 June 2020,It's really nice and addicting,5.0 ,sourabh goyal
12 July 2020,Good taste,5.0 ,Neelendra K.
02 March 2020,Gud product,4.0 ,Amazon Customer
04 July 2019,Good taste for foreigner too.,5.0 ,KAZUKI MAEDA
28 May 2020,Nice product and Value for money,4.0 ,Amazon Customer
04 June 2020,"Healthy product, but a bit expensive!",5.0 ,Umashankar
31 July 2020,I prefer chocolate muesli,4.0 ,Jaikumar
16 August 2019,Excellent!,5.0 ,Yogi
02 September 2020,Free hair with cereal,1.0 ,Garuda
19 June 2020,Makes for a joyous breakfast.,5.0 ,Ananya Bose
25 September 2019,Yummy,5.0 ,Nilu mishra
04 July 2019,Perfect Breakfast Snack,5.0 ,VINAY DOSHI
21 June 2020,not happy,2.0 ,sabrina
06 September 2020,🙄,4.0 ,Vikash Kumar
24 June 2020,not satisfied,1.0 ,Alka Thakur
29 September 2019,Tasty and healthy,5.0 ,Wafa
02 October 2019,Yogabar wholegrain breakfast,5.0 ,shobhit
30 June 2019,Good quality product yet a bit pricy,5.0 ,Dr Uday Mehta
09 September 2020,too much sugar,1.0 ,vj
11 July 2019,Tasty and quality,5.0 ,indresha h r
07 October 2019,Value for money,4.0 ,DevaN NarayaNaN
01 May 2020,Not so great,3.0 ,Webknight
07 February 2020,Unexpectedly bad experience with repeat order,3.0 ,Gaurav
08 September 2020,Satisfied with the product,5.0 ,Reshmi De
10 March 2020,Healthy food,5.0 ,Krishna
18 October 2019,Best ever muesli..,5.0 ,Ankit laxmikant Solanki
12 August 2019,complete balanced diet,5.0 ,deepak kumar singh
24 June 2020,Yogabar is the best✌️,5.0 ,Puspani Das
07 September 2020,Very good product,5.0 ,Kindle Customer
25 August 2019,Healthy option,5.0 ,sunita ghosh
13 September 2020,Healthy breakfast,5.0 ,Tech Guy
26 October 2019,Fruits and seeds is not a good flavour,3.0 ,GP
26 July 2020,Very bad taste,1.0 ,Rahul
06 August 2019,Too healthy meal to have,5.0 ,neha123
15 September 2020,Well me and you go along time,5.0 ,Pankaj Patel
16 April 2019,Best morning breakfast,5.0 ,Piyush agrawal
14 August 2020,Loved it,5.0 ,Trisha chawla
20 August 2020,Reasonably priced premium quality muesli,5.0 ,Thrifty shopper
11 June 2020,Great product,5.0 ,Baishan Chatterjee
02 March 2020,Full of seeds,3.0 ,Nik
03 September 2020,Quantity should increase,3.0 ,Unmesh
03 June 2019,Taste is very good and yummy..,5.0 ,Sweetu
19 July 2019,Nice flavour .worth buying . Everyone should buy this item.,5.0 ,Kumar Wadhwani
26 July 2019,A bit on the costlier side but is delicious,4.0 ,Mittal
05 June 2020,Kiddos Choice,5.0 ,Ravi Kumar
06 November 2019,The absolute best,5.0 ,Irina Das Sarkar
12 July 2020,Loved it!!,5.0 ,Hirannya Bhowmik
10 June 2020,Wow,5.0 ,batskhem lyngkhoi
18 September 2019,Tastiet healthy breakfast substitute,5.0 ,Renuka
16 June 2020,Very gud,5.0 ,Sumit Soni
17 April 2019,Healthy & Tasty,5.0 ,Kiran
10 September 2019,Good healthy snack for a change,5.0 ,HHR
18 June 2019,Just go for it,5.0 ,shruti
30 August 2020,very good product ordered 2nd time,4.0 ,manisha
29 July 2020,Healthy and delightful,4.0 ,NB
22 June 2020,Amazing,5.0 ,moikaseth
09 September 2020,Tasty crunchy musely plus excellent service,5.0 ,nmraj
14 July 2020,V good,5.0 ,M Rahaman
10 July 2019,No Sugar and perfect blend of flavors,5.0 ,Fazil
06 February 2019,Great,5.0 ,giriharan
02 August 2020,Nice Museli Flavour,4.0 ,Ankita
05 September 2019,Good,4.0 ,GJM
15 September 2020,Excellent product,4.0 ,lavanya
07 August 2020,Superb testy,5.0 ,RIMITA ROY
11 August 2020,First See the ingredients list and then buy,4.0 ,prakash
16 September 2020,Great Tasty and Quality,5.0 ,Ajithkumar. S
11 July 2020,Too yummy,4.0 ,Shakeel
21 September 2019,Too much smell of strawberry...otherwise okay.,4.0 ,ALFIN DAVIS
09 November 2019,Avoid,2.0 ,Manish Kumar
03 November 2019,Healthy and tasty breakfast.,5.0 ,Gaurangi
12 August 2020,U should try,5.0 ,Pradipta Biswas
11 July 2019,Good Product,5.0 ,ash
17 August 2020,Tasty and healthy loved it,5.0 ,Nikita Lalwani
25 August 2020,Item is good but delivery is poor,4.0 ,Mayank
02 May 2019,Good cereal,5.0 ,Prachi Jain
03 March 2020,Excellent muesli,4.0 ,Aditya dev
05 October 2019,Worth buying😍m in love with dis,5.0 ,NIKZ
13 August 2020,Yummyyy,5.0 ,Avinderan nagraj
05 July 2019,Cost is high,4.0 ,VINOJ JAISON R
11 December 2019,Nice.,5.0 ,harisankar
25 July 2019,Nice product,5.0 ,Amazon Customer
12 August 2020,Tasty,5.0 ,Kris
17 September 2019,good,5.0 ,ASOKAN G
31 May 2020,too expensive,3.0 ,Rashi
15 March 2020,not worth it..,3.0 ,Rahul Pawar
13 July 2020,Healthy yet delicious!,5.0 ,Shradha
03 April 2019,Very Healthy breakfast,5.0 ,Sindhu
14 July 2020,Good one. Happy to purchase.,5.0 ,srishty chaudhary
25 July 2020,Go for it,4.0 ,Sk (Mumbai)
05 September 2020,Delicious,5.0 ,Supriya Patankar
09 July 2020,Not satified,1.0 ,Nikhil
06 September 2020,Healthy food,5.0 ,Sri
16 September 2020,Best one,5.0 ,ajitesh
05 March 2019,A good product.,5.0 ,Tejaswini
28 June 2020,Buy it without any doubt,5.0 ,Sonia
18 February 2019,good quality ingredients.,5.0 ,Pramod Raikar
18 September 2020,Nice,4.0 ,Ashu arora
29 July 2019,Yummy yummy breakfast 😋,4.0 ,Aaditi S.
10 March 2019,Suggest you to do not add sugar,5.0 ,Rohan
31 May 2020,It's very helpful for my body energy,5.0 ,Shivam Kumar
06 January 2020,Poor quality,1.0 ,Sansh
14 June 2020,Looking for healthy breakfast? Here you go,5.0 ,Sakshi Pandey
25 February 2020,Worth buying 👍,5.0 ,Amazon Customer
13 July 2020,Highly recommend,5.0 ,Somiyareddy
03 June 2020,Good but costly,4.0 ,navneet kadian
21 May 2020,Delivery,5.0 ,vasudha
18 October 2019,Best,5.0 ,Verified Customer
26 May 2019,Nice taste.,5.0 ,FORCE INDIA
03 December 2019,Worst product,1.0 ,Pankaj Meher
20 May 2020,good product,4.0 ,Dinesh Goyal
03 August 2020,Free from sugar and honey,5.0 ,Amazon Customer
10 August 2020,Good buy,5.0 ,Rama Vaidyanathan
22 June 2020,West of money,1.0 ,Soni
04 March 2019,Better than Baggry's,5.0 ,Utpal Kalita
09 October 2019,Not up to the mark,2.0 ,Krish
09 September 2020,Tasty good buy,5.0 ,Lime light experience
28 February 2020,Perfect,5.0 ,Prabhu mundhra
05 March 2020,Good,2.0 ,A sif
05 August 2020,Expiry date for musli.,3.0 ,Kusum Lata
06 August 2020,Best onw,5.0 ,Ammu
19 July 2020,Smell,4.0 ,Munmun Rudra
31 July 2020,Pricey but good,4.0 ,Bhumika
04 June 2020,😍😍,5.0 ,Atanu Bera
06 June 2020,Okay.,3.0 ,captainplanetbetter
13 June 2020,Must have for breakfast,5.0 ,Ethan
10 October 2019,Very good cereal,5.0 ,JiA
10 June 2020,So delicious 😋,5.0 ,A Dash
02 August 2020,Tasty doesn't mean healthy!!!,3.0 ,Rahul Raju
28 October 2019,Ok Ok product.,3.0 ,sandeepchowdary
07 November 2019,No nuts,5.0 ,Snk
05 March 2019,another great product by Yogabar,5.0 ,Shalakka
22 September 2019,I recommend it,5.0 ,Mubarak
07 October 2019,Worth it!!,5.0 ,Sunita
07 March 2020,Tastey,5.0 ,Ajay Gera
03 May 2019,Small stone found in muesli :(,3.0 ,Sneha
24 June 2019,Yogabar Wholegrain Breakfast Muesli Fruits,4.0 ,BIRBAL KUMAR JAIN
20 July 2020,Not good,3.0 ,Rokr
20 August 2020,Extremely good,5.0 ,Narasim
29 June 2020,2 stars product,2.0 ,Karampreet Kaur
06 June 2019,Nice,5.0 ,Amazon intellectual customer
30 August 2019,Really good.,5.0 ,Dali
26 September 2019,Try it,5.0 ,Carl Mistry
03 July 2020,👍👍👍,5.0 ,SB
04 November 2019,Super breakfast,5.0 ,Vijay
25 July 2019,Fitness snack...,5.0 ,Prateek Raut
16 October 2019,Amazing taste,5.0 ,Abhishek singh
08 January 2020,Try it,4.0 ,Amazon Customer
06 October 2019,Best Muesli for me,4.0 ,Zuhair
20 March 2020,Awesome,5.0 ,chinmai
18 September 2019,Nice,3.0 ,Christeena
05 December 2019,Disappointed,1.0 ,Ajit Yadav
17 March 2019,Good product,5.0 ,Anukampa
03 August 2019,Value for money,5.0 ,SHREYA MEHROTRA
30 October 2019,Nssj,3.0 ,Varshith
17 August 2019,avarge,2.0 ,Ravi D
24 January 2020,Number 1 quality museli,5.0 ,Amazon Customer
15 January 2020,Excellent,5.0 ,ROOPA JAYA RAO
18 November 2019,Value for money,5.0 ,PRIYA MURMU
25 July 2019,Great Taste and value for money !!,5.0 ,Harsh
01 July 2020,Low Standard,3.0 ,Keerthu
26 December 2019,Expensive but nothing else comes close to Yogabar,4.0 ,Amazon Customer
11 October 2019,Nice,2.0 ,Vivanika
05 October 2019,Not good,1.0 ,Aeman Singh
29 October 2019,😍🥰,5.0 ,Dr Pinku Pradhan
07 July 2020,Awesome Product,4.0 ,Amaan pathan
18 June 2020,Amazing assortment of nutrition 😍😍,4.0 ,Umang sharma
25 November 2019,Not good,1.0 ,Sushil
04 November 2019,Worth munching,5.0 ,Anirudh Bhasin
16 September 2020,Best thing,5.0 ,Sanket Agarwal
25 August 2019,Good breakfast replacement,5.0 ,Niket Honnalli
26 July 2019,Nice product,4.0 ,garments
09 July 2020,Go for it!!!,5.0 ,M Lonkar
04 June 2019,Excellent,5.0 ,payal
29 March 2019,Fruits museli,5.0 ,Debkumar Singha
29 August 2020,Tasty and healthy,5.0 ,Honey Singh
19 May 2020,Overall best product,5.0 ,mahesh prabhudesai
24 August 2019,Tasty and healthy,5.0 ,Sanjeev Suri
15 February 2019,good for health,4.0 ,Jaideep Khanduja
04 June 2020,Best muesli ever,5.0 ,Amazon Customer
20 June 2020,good product,5.0 ,Sarvaiya
03 June 2019,Plz don't by this item Vry bed test,1.0 ,Jigar
30 March 2019,Super,5.0 ,"Mrs. D'Silva, Mangalore, Karnataka"
06 July 2020,Nice product,5.0 ,Rashmi
30 July 2019,Super,4.0 ,Ravi Chandra S
08 January 2020,Soo yummm n healthy too,5.0 ,Puja
19 June 2020,Yogi bar,5.0 ,George Philip
04 May 2019,Good product,5.0 ,dilip
28 July 2019,Nice,4.0 ,SHUBHAM SANKHLA
16 July 2020,What's seen outside is real,5.0 ,Ratan Dey
07 August 2019,awesome,5.0 ,Amazon Customer
25 October 2019,Nice,5.0 ,Amazon Customer
30 August 2020,"Good product, taste very nice",4.0 ,Amazon Customer
02 June 2020,Yummy healthy snack.,5.0 ,Gursharan
13 September 2019,Good test,4.0 ,Altab ali
10 February 2020,Not matched the hype,3.0 ,Partha roy
25 February 2019,Wonderful Breakfast option,5.0 ,Priyanka
28 September 2019,But satisfied,5.0 ,Amazon Customer
26 July 2019,Yummy and full of nutritions.,5.0 ,Chaitanya Manchanda
19 July 2019,Best for breakfast,5.0 ,Karan S
13 June 2020,Kellogg is best,1.0 ,Amazon Customer
22 May 2020,Perfect breakfast,5.0 ,Amazon Customer
02 August 2020,Good product ..,5.0 ,Raghavendra raju
17 September 2020,Good Muesli,5.0 ,Dinesh Gajjar
11 November 2019,Tasty,4.0 ,K Sai Sharan
08 October 2019,Nice one.,5.0 ,Shadab Khan
24 May 2020,Good taste and healthy,5.0 ,Puneeth Kumar V.
16 November 2019,Suprisingly Good and I really liked the taste.,5.0 ,nnd
16 July 2020,Worth it,4.0 ,Maithili Chavan
04 July 2019,Good for breakfast,5.0 ,Bala
06 December 2019,Excellent breakfast cereal,5.0 ,Vijay
07 June 2020,Good product.,5.0 ,Vinay
27 January 2019,No so good,3.0 ,Asif Ahamad
26 October 2019,Yoga bar 👌🏻,5.0 ,MOHAMMED SHAMSHEER
01 September 2020,Nice,5.0 ,Inma
23 June 2020,Rich and tasty,5.0 ,VERA
23 August 2019,healthy food really,5.0 ,gsmarts
23 January 2019,Just ok,3.0 ,Deepesh V
17 July 2019,Yummy😋,5.0 ,Aruna Kumar
27 August 2019,Good,5.0 ,Amazon Customer
02 July 2020,Good,4.0 ,Paro
25 July 2020,Best,5.0 ,Sumit Sharma
04 September 2020,The box looks good,3.0 ,Ratheesh ks
08 June 2020,Great taste,4.0 ,Nisha
19 April 2020,Never do,1.0 ,veeresh
09 August 2019,Very gud product,5.0 ,Amazon Customer
30 March 2019,Yummy plus healthy,5.0 ,ANUJ khanna
07 July 2019,"Healthy product, enough for breakfast",4.0 ,Amazon Customer
14 June 2020,good,5.0 ,Antara Thakur
23 June 2020,"good product, reasonable price",5.0 ,sridhar
26 April 2019,Good,5.0 ,Jay
30 May 2019,"Good Muesli, overpriced on Amazon",5.0 ,Amazon Customer
10 October 2019,Healthy,5.0 ,Jencia Paul
19 May 2020,Awesome taste,5.0 ,Juhi YAGNIK
14 July 2020,Good un taste,5.0 ,Amazon Customer
16 December 2019,Great product,4.0 ,Sarah
21 April 2020,Didn't liked,1.0 ,Ravi Singh
16 December 2019,Very healthy..,5.0 ,Poonam
07 June 2019,Good to buy,5.0 ,ViDS
17 May 2020,"If you are a muesli lover, go for it.",4.0 ,Khandekar Arefuz zaman
03 July 2019,good,4.0 ,Sohail Hasan
30 June 2019,☺,4.0 ,Anooja George
06 September 2020,Don't like taste,1.0 ,nidhi ranawat
29 May 2019,Can buy once,4.0 ,Swathi
02 November 2019,Best,5.0 ,K K
10 March 2020,Superb,5.0 ,Amazon Customer
17 October 2019,Tasty healthy treat,5.0 ,drrajeshtr
15 September 2020,Awesome,5.0 ,Riya
28 August 2020,Worthy but little expensive but overall really nice smell is good,5.0 ,Jyoti koli
10 July 2019,Awesome,5.0 ,temjen longkumer
18 July 2020,Excellent Product ! Go for it!,5.0 ,Amazon Customer
10 May 2019,Just adding nuts and berries Doesn't make it good,3.0 ,Amazon Customer
18 November 2019,Good quality ingredients,5.0 ,Gaurav Hans
21 July 2019,👏love it,5.0 ,Shu Y.
09 November 2019,Good good 😊👌,5.0 ,Yashdeep Z
25 June 2020,My baby love it,5.0 ,Barnali
02 September 2020,Awesome 👍 taste....must buy,5.0 ,Chetna Pandey
22 October 2019,Healthy product.,5.0 ,Priyanka thind
19 August 2020,Very tasty and healthy breakfast,5.0 ,Gowthamraj
05 June 2020,Ok,4.0 ,Kasturi Das
06 September 2019,Good,4.0 ,M. Viji
16 July 2019,Amazing,5.0 ,Ruchi
30 July 2019,Good but a bit expensive than peers.,3.0 ,ronald
